[2025-07-16 10:22:12] 🔁 Skipped duplicate: Manchester United vs Chelsea | 1X2 | Profit: 1449.5
[2025-07-16 10:22:12] ✅ New Arbitrage: Arsenal vs Liverpool | BTTS | Profit: 2671.57
[2025-07-16 10:25:13] 🔁 Skipped duplicate: Manchester United vs Chelsea | 1X2 | Profit: 1449.5
[2025-07-16 10:25:13] 🔁 Skipped duplicate: Arsenal vs Liverpool | BTTS | Profit: 2671.57
[2025-07-16 10:28:13] 🔁 Skipped duplicate: Manchester United vs Chelsea | 1X2 | Profit: 1449.5
[2025-07-16 10:28:13] 🔁 Skipped duplicate: Arsenal vs Liverpool | BTTS | Profit: 2671.57
[2025-07-16 10:31:13] 🔁 Skipped duplicate: Manchester United vs Chelsea | 1X2 | Profit: 1449.5
[2025-07-16 10:31:13] 🔁 Skipped duplicate: Arsenal vs Liverpool | BTTS | Profit: 2671.57
[2025-07-16 10:38:26] ✅ New Arbitrage: Manchester United vs Chelsea | 1X2 | Profit: 1790.39
[2025-07-16 10:38:27] 🔁 Skipped duplicate: Arsenal vs Liverpool | BTTS | Profit: 2671.57
[2025-07-16 10:41:28] 🔁 Skipped duplicate: Manchester United vs Chelsea | 1X2 | Profit: 873.15
[2025-07-16 10:41:42] 🔁 Skipped duplicate: Manchester United vs Chelsea | 1X2 | Profit: 873.15
[2025-07-16 10:43:24] ✅ New Arbitrage: Manchester United vs Chelsea | 1X2 | Profit: 1903.81
[2025-07-16 10:43:25] ✅ New Arbitrage: Barcelona vs Real Madrid | Over/Under 2.5 | Profit: 243.9
[2025-07-16 10:46:26] 🔁 Skipped duplicate: Manchester United vs Chelsea | 1X2 | Profit: 1903.81
[2025-07-16 10:46:26] 🔁 Skipped duplicate: Barcelona vs Real Madrid | Over/Under 2.5 | Profit: 243.9
[2025-07-16 10:49:26] 🔁 Skipped duplicate: Manchester United vs Chelsea | 1X2 | Profit: 1903.81
[2025-07-16 10:49:26] 🔁 Skipped duplicate: Barcelona vs Real Madrid | Over/Under 2.5 | Profit: 243.9
[2025-07-16 10:52:26] 🔁 Skipped duplicate: Manchester United vs Chelsea | 1X2 | Profit: 1903.81
[2025-07-16 10:52:26] 🔁 Skipped duplicate: Barcelona vs Real Madrid | Over/Under 2.5 | Profit: 243.9
[2025-07-16 10:55:26] 🔁 Skipped duplicate: Manchester United vs Chelsea | 1X2 | Profit: 1903.81
[2025-07-16 10:55:26] 🔁 Skipped duplicate: Barcelona vs Real Madrid | Over/Under 2.5 | Profit: 243.9
[2025-07-16 11:27:57] 🔁 Skipped duplicate: Manchester United vs Chelsea | 1X2 | Profit: 1903.81
[2025-07-16 11:27:57] 🔁 Skipped duplicate: Barcelona vs Real Madrid | Over/Under 2.5 | Profit: 243.9
[2025-07-16 11:29:42] ✅ New Arbitrage: Manchester United vs Chelsea | 1X2 | Profit: 1993.67
[2025-07-16 11:30:52] 🔁 Skipped duplicate: Manchester United vs Chelsea | 1X2 | Profit: 1993.67
[2025-07-16 11:30:52] ✅ New Arbitrage: Barcelona vs Real Madrid | Over/Under 2.5 | Profit: 1666.67
[2025-07-16 11:31:53] ✅ New Arbitrage: Manchester United vs Chelsea | 1X2 | Profit: 2237.67
[2025-07-16 11:31:54] 🔁 Skipped duplicate: Barcelona vs Real Madrid | Over/Under 2.5 | Profit: 1666.67
[2025-07-16 11:32:16] ✅ New Arbitrage: Manchester United vs Chelsea | 1X2 | Profit: 1771.12
[2025-07-16 11:32:17] 🔁 Skipped duplicate: Barcelona vs Real Madrid | Over/Under 2.5 | Profit: 1666.67
[2025-07-16 11:35:17] 🔁 Skipped duplicate: Manchester United vs Chelsea | 1X2 | Profit: 1771.12
[2025-07-16 11:35:17] 🔁 Skipped duplicate: Barcelona vs Real Madrid | Over/Under 2.5 | Profit: 1666.67
[2025-07-16 11:38:17] 🔁 Skipped duplicate: Manchester United vs Chelsea | 1X2 | Profit: 1771.12
[2025-07-16 11:38:17] 🔁 Skipped duplicate: Barcelona vs Real Madrid | Over/Under 2.5 | Profit: 1666.67
[2025-07-16 11:40:35] 🔁 Skipped duplicate: Manchester United vs Chelsea | 1X2 | Profit: 1771.12
[2025-07-16 11:40:35] 🔁 Skipped duplicate: Barcelona vs Real Madrid | Over/Under 2.5 | Profit: 1666.67
[2025-07-16 11:43:35] 🔁 Skipped duplicate: Manchester United vs Chelsea | 1X2 | Profit: 1771.12
